"filename", "language", "pip requirements", "Python", "c", "cpp", "bash", "Excel", "comment", "blank", "total"
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_traceproperty.py", "Python", 0, 80, 0, 0, 0, 0, 0, 13, 93
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_utils.py", "Python", 0, 408, 0, 0, 0, 0, 0, 104, 512
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_vars.py", "Python", 0, 684, 0, 0, 0, 0, 0, 156, 840
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_vm_type.py", "Python", 0, 31, 0, 0, 0, 0, 0, 11, 42
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_xml.py", "Python", 0, 310, 0, 0, 0, 0, 0, 90, 400
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/pydevd_frame_eval_cython_wrapper.py", "Python", 0, 34, 0, 0, 0, 0, 0, 10, 44
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/pydevd_frame_eval_main.py", "Python", 0, 41, 0, 0, 0, 0, 0, 8, 49
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/pydevd_frame_evaluator.c", "c", 0, 0, 19345, 0, 0, 0, 0, 1251, 20596
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/pydevd_frame_tracing.py", "Python", 0, 94, 0, 0, 0, 0, 0, 29, 123
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/pydevd_modify_bytecode.py", "Python", 0, 288, 0, 0, 0, 0, 0, 78, 366
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/release_mem.h", "c", 0, 0, 4, 0, 0, 0, 0, 2, 6
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/vendored/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/vendored/bytecode/__init__.py", "Python", 0, 120, 0, 0, 0, 0, 0, 11, 131
